,xlon,ylat,XCO2,SST,SSS,MLD,Chl,dbscan_clusters
0,-77.5,179.5,370.18506,-1.2571348,34.316242,237.38734,0.9810227,-1
1,-77.5,180.5,370.18506,-1.27453,34.295708,236.7784,1.0088542,-1
2,-77.5,181.5,370.18506,-1.3005131,34.269802,234.2756,1.0441259,-1
3,-77.5,182.5,370.18506,-1.3349055,34.241173,226.48158,1.084508,-1
4,-77.5,183.5,370.18506,-1.375007,34.21301,211.38574,1.1264875,-1
5,-77.5,184.5,370.18506,-1.4232416,34.184826,183.18517,1.1723005,-1
6,-77.5,185.5,370.18506,-1.4748867,34.157158,106.320816,1.2287823,-1
7,-77.5,186.5,370.18506,-1.5179017,34.134872,91.83624,1.2782905,0
8,-77.5,187.5,370.18506,-1.55012,34.116783,86.287285,1.3174845,0
9,-77.5,188.5,370.18506,-1.5742695,34.10128,83.058784,1.3511438,0
10,-77.5,189.5,370.18506,-1.5899726,34.087933,78.81658,1.3756596,0
11,-77.5,190.5,370.18506,-1.5964166,34.076656,75.86834,1.3862847,0
12,-77.5,191.5,370.18506,-1.5949364,34.06673,76.23232,1.3853966,0
13,-77.5,192.5,370.18506,-1.5885154,34.056736,76.768394,1.3816792,0
14,-77.5,193.5,370.18506,-1.5780613,34.045788,77.29249,1.3780986,0
15,-77.5,194.5,370.18506,-1.5607523,34.034103,78.04167,1.3724927,0
16,-77.5,195.5,370.18506,-1.5448453,34.023346,78.33355,1.3697238,0
17,-77.5,196.5,370.18506,-1.5325909,34.012074,79.02003,1.375543,0
18,-77.5,197.5,370.18506,-1.5252907,33.99974,80.01061,1.3902173,0
19,-77.5,198.5,370.18506,-1.5233799,33.98614,81.052414,1.4146991,0
20,-77.5,199.5,370.18506,-1.5200042,33.975132,82.29261,1.4296095,0
21,-77.5,200.5,370.18506,-1.5111973,33.97018,83.656006,1.420094,0
22,-77.5,314.5,370.18506,-1.6831462,34.400562,88.423,0.8314129,0
23,-77.5,315.5,370.18506,-1.6827666,34.397633,104.32522,0.8231155,0
24,-77.5,316.5,370.18506,-1.6847576,34.391136,121.06785,0.82288843,-1
25,-77.5,317.5,370.18506,-1.6877341,34.381714,129.46548,0.81627357,-1
26,-77.5,318.5,370.18506,-1.6890708,34.370285,129.67513,0.804739,-1
27,-77.5,319.5,370.18506,-1.6869085,34.357162,125.42409,0.793158,-1
28,-77.5,320.5,370.18506,-1.6797569,34.343212,117.60784,0.7798769,-1
29,-77.5,321.5,370.18506,-1.668991,34.329906,111.61105,0.76315475,0
30,-77.5,322.5,370.18506,-1.658961,34.31537,107.51122,0.7446743,0
31,-77.5,323.5,370.18506,-1.6506096,34.2993,104.711395,0.7280093,0
32,-77.5,324.5,370.18506,-1.6417252,34.286446,101.51113,0.7082299,0
33,-76.5,164.5,370.18506,-0.8974851,34.624107,205.73112,0.84775424,-1
34,-76.5,165.5,370.18506,-0.89049774,34.615685,191.05148,0.87387913,-1
35,-76.5,166.5,370.18506,-0.8972517,34.60461,169.83583,0.8991412,1
36,-76.5,167.5,370.18506,-0.9157308,34.591473,158.57173,0.91784346,1
37,-76.5,168.5,370.18506,-0.938836,34.57506,154.86137,0.93403155,1
38,-76.5,169.5,370.18506,-0.9673611,34.554256,156.24269,0.9514704,1
39,-76.5,170.5,370.18506,-1.0002528,34.52785,160.25526,0.9717982,1
40,-76.5,171.5,370.18506,-1.0297966,34.500034,164.2576,0.9933868,1
41,-76.5,172.5,370.18506,-1.0562173,34.473244,164.1715,1.017432,1
42,-76.5,173.5,370.18506,-1.0852176,34.446846,160.35027,1.0464456,1
43,-76.5,174.5,370.18506,-1.1187901,34.419785,158.75621,1.0807111,1
44,-76.5,175.5,370.18506,-1.1551728,34.392036,159.32903,1.1196553,1
45,-76.5,176.5,370.18506,-1.1935538,34.363617,161.54733,1.1599972,1
46,-76.5,177.5,370.18506,-1.2328184,34.334965,164.82724,1.1977096,1
47,-76.5,178.5,370.18506,-1.2675622,34.306553,166.81122,1.2287217,1
48,-76.5,179.5,370.18506,-1.2995703,34.278675,164.4511,1.2505786,1
49,-76.5,180.5,370.18506,-1.3334332,34.250744,153.71858,1.2651109,1
50,-76.5,181.5,370.18506,-1.3744941,34.221504,123.17451,1.2856077,-1
51,-76.5,182.5,370.18506,-1.4227053,34.192184,81.161644,1.3230624,0
52,-76.5,183.5,370.18506,-1.469809,34.16724,59.61628,1.3664589,0
53,-76.5,184.5,370.18506,-1.5068923,34.148792,55.880795,1.3828789,0
54,-76.5,185.5,370.18506,-1.5390358,34.132496,56.038525,1.3866204,0
55,-76.5,186.5,370.18506,-1.5653955,34.115498,56.389336,1.367036,0
56,-76.5,187.5,370.18506,-1.5869967,34.09758,57.021954,1.3369441,0
57,-76.5,188.5,370.18506,-1.6047531,34.079277,57.765644,1.3228605,0
58,-76.5,189.5,370.18506,-1.6192224,34.061,58.564228,1.3170367,0
59,-76.5,190.5,370.18506,-1.6286889,34.044014,59.581863,1.2898883,0
60,-76.5,191.5,370.18506,-1.6331238,34.028614,60.768867,1.2469794,0
61,-76.5,192.5,370.18506,-1.6361839,34.01301,61.73586,1.2374526,0
62,-76.5,193.5,370.18506,-1.6390747,33.99606,62.510998,1.2631159,0
63,-76.5,194.5,370.18506,-1.6433129,33.97669,63.320988,1.3202263,0
64,-76.5,195.5,370.18506,-1.6481147,33.95712,64.52301,1.361104,0
65,-76.5,196.5,370.18506,-1.6530254,33.937275,65.87853,1.4014779,0
66,-76.5,197.5,370.18506,-1.6575612,33.91793,67.36026,1.4421798,0
67,-76.5,198.5,370.18506,-1.661481,33.899353,69.09451,1.4821835,0
68,-76.5,199.5,370.18506,-1.6645374,33.881607,71.19069,1.5180095,0
69,-76.5,200.5,370.18506,-1.6673273,33.864285,73.73259,1.5484439,0
70,-76.5,201.5,370.18506,-1.6719846,33.84598,76.46715,1.5781529,0
71,-76.5,202.5,370.18506,-1.680291,33.824978,78.22578,1.6113555,0
72,-76.5,203.5,370.18506,-1.679984,33.809486,79.84104,1.6286378,0
73,-76.5,204.5,370.18506,-1.675335,33.796947,80.901505,1.635623,0
74,-76.5,205.5,370.18506,-1.6686456,33.785736,81.63879,1.6411865,0
75,-76.5,206.5,370.18506,-1.6595691,33.775948,82.19187,1.648879,0
76,-76.5,207.5,370.18506,-1.6474429,33.768044,82.5846,1.6574363,0
77,-76.5,208.5,370.18506,-1.6319717,33.762783,82.898674,1.66273,0
78,-76.5,309.5,370.18506,-1.6881201,34.342884,89.34063,0.9121841,-1
79,-76.5,310.5,370.18506,-1.6835084,34.33956,82.531075,0.8985689,-1
80,-76.5,311.5,370.18506,-1.676391,34.33535,71.747406,0.8803538,0
81,-76.5,312.5,370.18506,-1.669481,34.332283,67.60489,0.85612094,0
82,-76.5,313.5,370.18506,-1.6674545,34.32856,67.1556,0.8350598,0
83,-76.5,314.5,370.18506,-1.6676848,34.32344,68.797,0.8208516,0
84,-76.5,315.5,370.18506,-1.6692128,34.316856,71.00377,0.80746436,0
85,-76.5,316.5,370.18506,-1.6712741,34.30839,72.7788,0.79119235,0
86,-76.5,317.5,370.18506,-1.6725671,34.297768,73.97642,0.77170956,0
87,-76.5,318.5,370.18506,-1.672231,34.285496,75.0251,0.74826956,0
88,-76.5,319.5,370.18506,-1.6712426,34.27235,76.07091,0.720986,0
89,-76.5,320.5,370.18506,-1.6704533,34.25846,77.275665,0.69001365,0
90,-76.5,321.5,370.18506,-1.6673477,34.2445,79.46123,0.65473527,0
91,-76.5,322.5,370.18506,-1.6622748,34.22903,82.1027,0.622364,0
92,-76.5,323.5,370.18506,-1.654457,34.21189,85.61684,0.59021944,0
93,-76.5,324.5,370.18506,-1.6441472,34.193356,90.799416,0.55745643,0
94,-76.5,325.5,370.18506,-1.6305801,34.174343,98.68888,0.52453834,0
95,-76.5,326.5,370.18506,-1.612135,34.15532,108.2794,0.49176902,0
96,-76.5,327.5,370.18506,-1.5892662,34.13703,116.38204,0.46027234,0
97,-76.5,328.5,370.18506,-1.5675616,34.124218,121.245964,0.43492612,-1
98,-76.5,329.5,370.18506,-1.5470253,34.118828,107.51838,0.4136338,0
99,-75.5,164.5,370.18506,-1.1183628,34.55276,172.88824,1.07454,-1
100,-75.5,165.5,370.18506,-1.1052368,34.53562,144.71379,1.1247888,-1
101,-75.5,166.5,370.18506,-1.1007165,34.51538,117.42747,1.169688,-1
102,-75.5,167.5,370.18506,-1.0967071,34.496033,108.12427,1.2015747,0
103,-75.5,168.5,370.18506,-1.0976944,34.47793,105.16612,1.2238175,0
104,-75.5,169.5,370.18506,-1.0998821,34.460278,104.003586,1.241365,0
105,-75.5,170.5,370.18506,-1.101325,34.441105,102.75105,1.2587426,0
106,-75.5,171.5,370.18506,-1.1055093,34.418003,100.67115,1.2812498,0
107,-75.5,172.5,370.18506,-1.1204275,34.389248,97.41769,1.3152329,0
108,-75.5,173.5,370.18506,-1.151843,34.356537,90.70888,1.363743,0
109,-75.5,174.5,370.18506,-1.1967547,34.325405,79.39386,1.4226714,0
110,-75.5,175.5,370.18506,-1.2438003,34.300488,72.984055,1.4824826,0
111,-75.5,176.5,370.18506,-1.2846203,34.281326,69.32438,1.5295962,0
112,-75.5,177.5,370.18506,-1.3208919,34.265427,67.72684,1.5553434,0
113,-75.5,178.5,370.18506,-1.3520712,34.25015,63.897335,1.5565276,0
114,-75.5,179.5,370.18506,-1.3788362,34.23453,58.890133,1.5335755,0
