,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.316242218,5.4696931839,-1.25713479519,270.16228903,3,9,4
1,-77.5,180.5,34.2957077026,5.46712446213,-1.27453005314,269.626503916,3,9,4
2,-77.5,181.5,34.2698020935,5.45649814606,-1.30051314831,268.901123082,3,9,4
3,-77.5,182.5,34.2411727905,5.42266368866,-1.33490550518,268.001064437,3,9,4
4,-77.5,183.5,34.2130088806,5.35368442535,-1.37500703335,266.963243277,3,9,4
5,-77.5,184.5,34.1848258972,5.2104973793,-1.4232416153,265.903843904,3,9,4
6,-77.5,185.5,34.1571578979,4.66646099091,-1.47488665581,265.089572445,3,9,4
7,-77.5,186.5,34.1348724365,4.52000713348,-1.51790165901,264.479855602,4,1,5
8,-77.5,187.5,34.1167831421,4.45768213272,-1.55011999607,263.820297673,4,1,5
9,-77.5,188.5,34.1012802124,4.41954851151,-1.57426953316,263.196828453,4,1,5
10,-77.5,189.5,34.0879325867,4.36712360382,-1.58997261524,262.687612189,4,1,5
11,-77.5,190.5,34.0766563416,4.32899951935,-1.5964165926,262.141652009,4,1,5
12,-77.5,191.5,34.0667304993,4.33378553391,-1.59493637085,261.340970197,4,1,5
13,-77.5,192.5,34.0567359924,4.34079313278,-1.58851540089,260.235086324,4,1,5
14,-77.5,193.5,34.0457878113,4.34759664536,-1.57806134224,258.901274328,4,1,5
15,-77.5,194.5,34.0341033936,4.35724306107,-1.56075227261,257.4582961,4,1,5
16,-77.5,195.5,34.0233459473,4.36097621918,-1.54484534264,256.307182877,4,1,5
17,-77.5,196.5,34.0120735168,4.3697013855,-1.53259086609,255.19011017,4,1,5
18,-77.5,197.5,33.9997406006,4.38215923309,-1.52529072762,254.083356261,4,1,5
19,-77.5,198.5,33.9861412048,4.3950958252,-1.52337992191,253.031968819,4,1,5
20,-77.5,199.5,33.9751319885,4.41028118134,-1.52000415325,252.20631818,4,1,5
21,-77.5,200.5,33.9701805115,4.42671298981,-1.51119732857,251.747586722,4,1,5
22,-77.5,314.5,34.4005622864,4.48213195801,-1.68314623833,308.88872937,4,1,7
23,-77.5,315.5,34.3976325989,4.64751291275,-1.68276655674,309.015739285,3,9,4
24,-77.5,316.5,34.3911361694,4.79635095596,-1.68475759029,308.998709872,3,9,4
25,-77.5,317.5,34.3817138672,4.86341428757,-1.68773412704,309.065026586,3,9,4
26,-77.5,318.5,34.3702850342,4.86503219604,-1.68907082081,309.169651408,3,9,4
27,-77.5,319.5,34.3571624756,4.83170080185,-1.68690848351,309.191609795,3,9,4
28,-77.5,320.5,34.3432121277,4.76735591888,-1.67975687981,309.160490922,3,9,4
29,-77.5,321.5,34.3299064636,4.71502017975,-1.66899096966,309.159752702,3,9,4
30,-77.5,322.5,34.3153686523,4.67759513855,-1.65896105766,309.117820081,3,9,4
31,-77.5,323.5,34.2993011475,4.65120792389,-1.65060961246,309.093215264,3,0,7
32,-77.5,324.5,34.2864456177,4.62016868591,-1.64172518253,309.209245437,3,0,7
